iter	Passed	Remaining
291	1914	1363
292	1921	1357
293	1928	1351
294	1934	1344
295	1941	1338
296	1948	1331
297	1954	1325
298	1961	1318
299	1968	1312
300	1975	1305
301	1982	1299
302	1988	1293
303	1995	1286
304	2001	1279
305	2008	1273
306	2014	1266
307	2021	1260
308	2027	1253
309	2034	1247
310	2041	1240
311	2048	1234
312	2054	1227
313	2062	1221
314	2072	1216
315	2081	1212
316	2090	1207
317	2100	1201
318	2109	1196
319	2118	1191
320	2128	1186
321	2138	1182
322	2148	1177
323	2157	1172
324	2167	1167
325	2178	1162
326	2187	1157
327	2197	1152
328	2206	1147
329	2216	1141
330	2226	1136
331	2234	1130
332	2241	1124
333	2250	1118
334	2258	1112
335	2265	1105
336	2272	1099
337	2279	1092
338	2286	1085
339	2293	1079
340	2300	1072
341	2307	1066
342	2314	1059
343	2321	1052
344	2328	1046
345	2335	1039
346	2342	1033
347	2350	1026
348	2357	1019
349	2364	1013
350	2371	1006
351	2378	999
352	2385	993
353	2392	986
354	2398	979
355	2405	973
356	2412	966
357	2419	959
358	2427	953
359	2434	946
360	2441	939
361	2448	933
362	2455	926
363	2462	920
364	2469	913
365	2477	906
366	2483	900
367	2492	893
368	2499	887
369	2506	880
370	2514	874
371	2521	867
372	2528	860
373	2535	854
374	2542	847
375	2549	840
376	2556	833
377	2562	827
378	2569	820
379	2576	813
380	2583	806
381	2590	800
382	2597	793
383	2604	786
384	2610	779
385	2617	773
386	2624	766
387	2634	760
388	2643	754
389	2652	748
390	2659	741
391	2669	735
392	2680	729
393	2690	723
394	2701	718
395	2711	712
396	2719	705
397	2725	698
398	2731	691
399	2740	685
400	2746	678
401	2753	671
402	2759	664
403	2766	657
404	2772	650
405	2780	643
406	2790	637
407	2799	631
408	2807	624
409	2814	617
410	2821	611
411	2830	604
412	2839	598
413	2849	591
414	2858	585
415	2866	578
416	2872	571
417	2879	564
418	2887	558
419	2895	551
420	2902	544
421	2910	537
422	2918	531
423	2927	524
424	2934	517
425	2941	511
426	2950	504
427	2957	497
428	2965	490
429	2972	483
430	2979	476
431	2986	470
432	2993	463
433	3000	456
434	3008	449
435	3015	442
436	3023	435
437	3031	429
438	3041	422
439	3050	416
440	3059	409
441	3069	402
442	3077	395
443	3085	389
444	3092	382
445	3100	375
446	3108	368
447	3115	361
448	3123	354
449	3131	347
450	3139	341
451	3150	334
452	3157	327
453	3164	320
454	3171	313
455	3178	306
456	3184	299
457	3191	292
458	3197	285
459	3203	278
460	3212	271
461	3221	264
462	3230	258
463	3239	251
464	3248	244
465	3260	237
466	3270	231
467	3280	224
468	3291	217
469	3302	210
470	3312	203
471	3323	197
472	3333	190
473	3343	183
474	3354	176
475	3366	169
476	3376	162
477	3385	155
478	3393	148
479	3401	141
480	3409	134
481	3419	127
482	3426	120
483	3433	113
484	3440	106
485	3447	99
486	3454	92
487	3461	85
488	3468	78
489	3476	70
490	3483	63
491	3490	56
492	3499	49
493	3509	42
494	3518	35
495	3527	28
496	3536	21
497	3545	14
498	3552	7
499	3560	0
