iter	RMSE
186	15.80802737
187	15.77235107
188	15.74912992
189	15.72927005
190	15.7024766
191	15.68087127
192	15.65977355
193	15.63038134
194	15.61082917
195	15.5853314
196	15.57253459
197	15.54935757
198	15.52484509
199	15.50365061
200	15.48237772
201	15.46407926
202	15.44694041
203	15.42672455
204	15.4106338
205	15.3960805
206	15.37635566
207	15.35159886
208	15.3324277
209	15.31365456
210	15.29226989
211	15.26531184
212	15.2483245
213	15.22989314
214	15.20970357
215	15.19536319
216	15.17776338
217	15.16814334
218	15.14519664
219	15.12361392
220	15.10405241
221	15.08548152
222	15.06274134
223	15.0427211
224	15.02765467
225	15.00285418
226	14.98201678
227	14.95847174
228	14.94667676
229	14.92861464
230	14.91097471
231	14.89545642
232	14.87631833
233	14.86080866
234	14.8508328
235	14.8335819
236	14.8161505
237	14.80234774
238	14.78697303
239	14.76724094
240	14.7520642
241	14.7394113
242	14.71940543
243	14.70263869
244	14.6868632
245	14.67173506
246	14.66303804
247	14.64628857
248	14.62361481
249	14.60485957
250	14.58878791
251	14.57708006
252	14.56224243
253	14.54694118
254	14.53429502
255	14.52482734
256	14.5033044
257	14.49002601
258	14.47539126
259	14.45160595
260	14.43351942
261	14.42060892
262	14.41153886
263	14.39114127
264	14.38004434
265	14.36294521
266	14.35210623
267	14.33858266
268	14.32304448
269	14.30953578
270	14.29492641
271	14.28252172
272	14.26842525
273	14.25211324
274	14.2392375
275	14.22451876
276	14.20822916
277	14.19250465
278	14.17581318
279	14.16222333
280	14.14384364
281	14.13237029
282	14.11891254
283	14.10338279
284	14.09057914
285	14.07624203
286	14.06680549
287	14.05722743
288	14.05088916
289	14.04284815
290	14.03351124
291	14.01603114
292	14.00402643
293	13.98608406
294	13.97708577
295	13.9680531
296	13.94880289
297	13.92925441
298	13.91405527
299	13.90131492
300	13.89378931
301	13.87705805
302	13.86497541
303	13.85374308
304	13.84417359
305	13.83393763
306	13.8204779
307	13.80895969
308	13.79910126
309	13.78625081
310	13.77031339
311	13.75539117
312	13.74154242
313	13.73233418
314	13.72024206
315	13.70763957
316	13.69390893
317	13.68709049
318	13.67651825
319	13.6655085
320	13.65463056
321	13.63922836
322	13.62970654
323	13.61747143
324	13.6023862
325	13.59327674
326	13.58640589
327	13.57623046
328	13.5649235
329	13.55645398
330	13.54805219
331	13.53543643
332	13.5214117
333	13.5131545
334	13.50218878
335	13.4905817
336	13.48247137
337	13.47184321
338	13.45994535
339	13.44415405
340	13.43317856
341	13.42519082
342	13.41596073
343	13.40798355
344	13.39579358
345	13.3804366
346	13.36237672
347	13.3552097
348	13.34386544
349	13.33184034
350	13.32456427
351	13.31754109
352	13.30660475
353	13.29670157
354	13.28845958
355	13.27702691
356	13.2677662
357	13.25762692
358	13.25014311
359	13.23988693
360	13.23060431
361	13.22019139
362	13.21202359
363	13.20090168
364	13.19178556
365	13.18113854
366	13.1714141
367	13.16666434
368	13.15843368
369	13.14717176
370	13.13605264
371	13.12895277
372	13.12053467
373	13.11049848
374	13.10262333
375	13.09161974
376	13.08118274
377	13.07254612
378	13.06176305
379	13.04840256
380	13.0324066
381	13.02009683
382	13.00755053
383	12.99909642
384	12.98713087
385	12.97893586
386	12.96592302
387	12.95610513
388	12.94730744
389	12.93801287
390	12.92924188
391	12.92216716
392	12.91106725
393	12.90441061
394	12.89499173
395	12.88442697
396	12.87738051
397	12.86587228
398	12.85945426
399	12.85001666
400	12.84197177
401	12.83315699
402	12.82552242
403	12.82075304
404	12.81320012
405	12.80635712
406	12.79723927
407	12.78935885
408	12.78026691
409	12.7718192
410	12.75961405
411	12.74923896
412	12.74053474
413	12.73193328
414	12.72386141
415	12.71567443
416	12.70688372
417	12.69427398
418	12.68723968
419	12.68179298
420	12.67136023
421	12.66465732
422	12.6589373
423	12.65094627
424	12.64450963
425	12.63504825
426	12.63058455
427	12.62235777
428	12.61267077
429	12.60109828
430	12.59692852
431	12.5869538
432	12.5777319
433	12.56846354
434	12.55884758
435	12.55215731
436	12.54160809
437	12.53360862
438	12.52661662
439	12.51850894
440	12.50902048
441	12.50127337
442	12.49043205
443	12.48488846
444	12.47572654
445	12.46911795
446	12.45917602
447	12.45243514
448	12.44561365
449	12.43797623
450	12.4328965
451	12.4285981
452	12.42048896
453	12.4131975
454	12.40832027
455	12.4020712
456	12.39555995
457	12.39075056
458	12.38408344
459	12.37924562
460	12.37081826
461	12.36433564
462	12.3584025
463	12.34960756
464	12.34195744
465	12.33513135
466	12.32977866
467	12.32358117
468	12.31754929
469	12.30612358
470	12.29924254
471	12.29163821
472	12.28402692
473	12.27715824
474	12.26994669
475	12.26238998
476	12.25685308
477	12.24852631
478	12.2403957
479	12.23396932
480	12.22425223
481	12.218181
482	12.21137658
483	12.20505169
484	12.19973697
485	12.19027837
486	12.18260541
487	12.17777476
488	12.17191616
489	12.16661836
490	12.16257306
491	12.15042696
492	12.1448099
493	12.13994152
494	12.13312596
495	12.12617109
496	12.11235975
497	12.10623838
498	12.0975463
499	12.09069261
