iter	RMSE
0	71.8314911
1	69.46105214
2	67.16523955
3	65.00287517
4	63.00859974
5	61.09948484
6	59.21546464
7	57.42263559
8	55.70304404
9	54.07817643
10	52.49472799
11	50.99465627
12	49.72571226
13	48.4190715
14	47.28727653
15	46.03622599
16	44.91396849
17	43.90650543
18	42.96837122
19	42.01856139
20	41.13512061
21	40.19516138
22	39.36129178
23	38.57344469
24	37.82752822
25	37.05131023
26	36.384897
27	35.71177566
28	35.04668622
29	34.53155912
30	33.88853087
31	33.29461296
32	32.781848
33	32.28624561
34	31.82929682
35	31.38504064
36	30.92011617
37	30.51117231
38	30.14332235
39	29.76420004
40	29.38189968
41	28.96122701
42	28.64193018
43	28.32425319
44	28.01937556
45	27.69162126
46	27.40109218
47	27.12870921
48	26.8398714
49	26.58261327
50	26.31955046
51	26.04704824
52	25.8042352
53	25.57454598
54	25.37462174
55	25.13907817
56	24.9518441
57	24.77841644
58	24.61556713
59	24.39866367
60	24.23333283
61	24.08035662
62	23.87596214
63	23.70605027
64	23.51006005
65	23.34957164
66	23.15276817
67	22.99405815
68	22.85284818
69	22.68190805
70	22.56568582
71	22.4593281
72	22.28668405
73	22.16000511
74	21.97288013
75	21.86264277
76	21.7038425
77	21.55788672
78	21.41669186
79	21.2860381
80	21.15479591
81	21.04492921
82	20.94984283
83	20.83481016
84	20.70608599
85	20.57294726
86	20.45938934
87	20.35454133
88	20.26851841
89	20.15744858
90	20.07133974
91	19.96734824
92	19.88277093
93	19.80348061
94	19.72163968
95	19.66380801
96	19.57806471
97	19.46804204
98	19.37679387
99	19.29200451
100	19.22036065
101	19.13439227
102	19.06501661
103	18.9860684
104	18.91310331
105	18.86617039
106	18.80888447
107	18.72400004
108	18.64862169
109	18.59899797
110	18.54744691
111	18.4832468
112	18.42894496
113	18.35405879
114	18.29426175
115	18.23464834
116	18.1724024
117	18.11072487
118	18.0780104
119	18.03911703
120	17.98885254
121	17.93725483
122	17.87752308
123	17.82176596
124	17.77310034
125	17.71663596
126	17.66514813
127	17.61593742
128	17.57855376
129	17.52799514
130	17.48808952
131	17.44611269
132	17.40604976
133	17.35211049
134	17.31435963
135	17.28461645
136	17.2520297
137	17.19649381
138	17.15833792
139	17.11944742
140	17.0772838
141	17.04177506
142	17.00427417
143	16.96147189
144	16.92930237
145	16.88974322
146	16.85877547
147	16.82621598
148	16.78982504
149	16.76666698
150	16.73353432
151	16.70623392
152	16.6758671
153	16.65088541
154	16.6130178
155	16.58221976
156	16.54874842
157	16.51411928
158	16.48165622
159	16.45014085
160	16.42544784
161	16.39864017
162	16.37484981
163	16.34461391
164	16.31593327
165	16.2899539
166	16.26992071
167	16.25319385
168	16.2240719
169	16.19855263
170	16.17893263
171	16.15229916
172	16.13415158
173	16.1000506
174	16.0628683
175	16.03948119
176	16.02094726
177	15.98577117
178	15.96725153
179	15.95285876
180	15.93072039
181	15.90298315
182	15.88241655
183	15.86191349
184	15.84493236
185	15.82590337
